Sentence,Event
part of this rise in market rates has been caused by fears of a tighter federal reserve policy to defend the dollar but economists said it is too early to tell whether the fed whose policymaking federal open market committee fomc meets this week is already tightening its grip on credit,rate_change
we are looking at more options to acquire more reserves rather than just exploration conger said adding the move to consider acquisitions represents a change in the companys acquisitions policy,merger
chrysler gets the jeep franchise and the new amc bramalea ontario plant and the new renault premier midsized car and amcs sales will go up because buyers will have more confidence that the manufacturer will still be around to service the products glantz said,earnings
among the leading seven industrial countries consumer price inflation was highest in italy at 42 pct followed by canada at 40 pct britain at 39 pct france at 34 pct the us at 21 pct and west germany and japan with negative rates of 05 pct and 14 pct respectively,rate_change
revlon said its board of directors unanimously approved the merger agreement,merger
japan february interim trade surplus jumps japans customscleared trade surplus in the first 20 days of february jumped to 358 billion dlrs from 194 billion a year earlier the finance ministry said,general
the federal home loan bank board had closed first federal on march 20 because it was insolvent,rate_change
china faces extended sorghum shortage china will be short of sorghum in 1987 for the sixth successive year because high production costs and low profits discourage farmers from growing it the china daily business weekly said,earnings
in addition staff builders officers and directors own about 138 pct of its stock and have agreed to vote in favor of the merger,merger
feds heller says monetary growth to be slower robert heller a member of the federal reserve board said he expects more modest levels of growth in the money supply this year,rate_change
includes operations of bank of hartford acquired feb 23,merger
but with consumer prices falling for much of 1986 and inflation negligible so far this year poehl thinks it is safe to relax the monetary reins a little and concentrate on the dangers to the german economy of a bloated exchange rate,rate_change
clausen said he doubts bankamerica would be in a position this year to make any acquisitions or experience any growth,merger
a higher psbr target could be preferable in the long term he said although lower mortgage interest rates on the back of falling base rates would have an offsetting impact on inflation,rate_change
texas commerce lttcb sees improvement in 1987 texas commerce bancshares inc said that relatively stable oil prices and the banks planned merger with chemical new york corp ltchl would help 1987 earnings increase from last years profits of 20 mln dlrs,earnings
gamma biologicals inc ltgamao 4th qtr march 31 shr profit four cts vs loss 47 cts net profit 209000 vs loss 2164000 sales 4849000 vs 3682000 year shr loss 10 cts vs loss 52 cts net loss 451000 vs loss 2378000 sales 180 mln vs 158 mln,earnings
us treasurys baker sees rate stability treasury secretary james baker said the agreement among the industrial countries reached in paris last month should foster stability of exchange rates at around current levels,rate_change
she said the acquisition fit with air canadas strategy of seeking attractive investments that compliment its main airline business,merger
dealers said recent securities repurchase pacts had shown the bundesbank clearly wanted call money rates stable at 380,rate_change
paralax ltvido agrees to acquire american video paralax video enterprises inc said it has agreeed to acquire ltamerican video group inc in exchange for 287700 paralax restricted common shares and three year warrants to buy 318600 restricted shares at six dlrs a share,merger
the fundamental problem the size of the us federal budget deficit could be remedied only by cutting government spending or encouraging personal savings to finance the debt it said,rate_change
the company said in its annual report that its nonpharmaceutical business will play a major role in meeting its earnings growth target and will in fact grow faster than its pharmaceutical business,earnings
sportscene acquires christophe van houtte chain sportscene restaurants inc said it acquired cafe christophe van houtte inc a cafe chain with ten franchises and one corporate restaurant for an unspecified amount of cash and sportscene shares,merger
ltnext plc ltnexll five months to end january shr 767p vs 534p div 15p vs 108p pretax profit 3012 mln stg vs 1240 mln net interest payable 255 mln vs 200 stg net after tax 1958 vs 744 mln turnover excluding vat 25766 mln vs 7409 mln note the company said it intends to issue a second interim statement for the six months to july 1987 and to pay a related dividend in early 1988,earnings
in what was the first prime rate boost since mid1984 most banks in early april lifted their rates a quarter point to 734 pct citing a reduced gap between the prime and their own cost of money,rate_change
1987 amounts include operations of burgdoff realtors acquired during december 1986 and other operations,merger
the group made no specific nominal forecasts of economic or inflation growth in its policy statement,rate_change
petrochemical buyers were sidelined after their foray in the market early in june they said,general
the department said deficiency payment rates of 515 cents per bushel for corn and 49 cents per bushel for sorghum were received by producers requesting advance payments,rate_change
a year ago the index stood at 2367 and yearonyear consumer price inflation at 197 pct,rate_change
hei corp ltheico 4th qtr march 31 loss oper shr loss 13 cts vs profit three cts oper net loss 644000 vs profit 184000 revs 249 mln vs 221 mln year oper shr loss nine cts vs profit 21 cts oper net loss 429000 vs profit 1123000 revs 908 mln vs 865 mln note revenues exclude medical publishing and retail operations the company decided to dispose of during the fourth quarter which had fiscal year revenues of 173 mln dlrs vs 144 mln dlrs,earnings
the last thing they want to do is reduce them rates and have to jack them back up again said richard jeffrey economist at brokerage house hoare govett ltd,rate_change
the central bank bought 31 mln stg of bank bills outright in band two at 91316 pct,rate_change
baker said last night in a statement that the required assets to be sold would reduce revenues by about 65 mln dlrs representing about three pct of the revenues of the combined companies,earnings
the ministry has favoured the merger of the two rival groups arguing the market cannot support more than one competitor to kokusai denshin denwa co ltd which now monopolizes the business,merger
according to the departments export sales report covering transactions in the week ended april 2 corn transactions consisted of 140600 tonnes of new sales and changes in destinations for 35000 tonnes,earnings
earlier am reported a fourth quarter operating loss of two cts a share compared to profits of seven cts a share a year ago,earnings
thats bad for competition and bad for the consumer he said,general
british telecom third quarter pretax profit 506 mln stg vs 452 mln british telecom third quarter pretax profit 506 mln stg vs 452 mln,earnings
1985 4th qtr and yr net include net gain of 159 mln dlrs or 586 dlrs per share on exchange of common of pan america banks inc for common of ncnb corp purusant to a merger of the companies,merger
yeutter says us budget deficit reduction key to trade deficit solution yeutter says us budget deficit reduction key to trade deficit solution,general
he said production costs had risen to 40 pct of farmers earnings from 20 pct in 1982 and lower investment had caused the area of irrigated land to fall,earnings
excludes extraordinary charge of 2503000 for current qtr and 4744000 for year,general
we think that in the third or fourth quarter after the merger we should see something close to breakeven he said,merger
ltvista management inc to make acquisition vista management inc said it has agreed to acquire general energy development inc for over 2200000 dlrs in cash with financing to come from mortgage loans on the national auto service centers general energy operates,merger
but that confidence is now cracking as the financial markets suddenly believe fed chairman paul volckers oftenrepeated warnings about the risks of a dollar collapse,rate_change
turkish central bank sets liradollar dm rates the turkish central bank set a liradollar rate for march 10 of 7730577692 to the dollar down from the previous 7696077345,rate_change
penney posted a 55 pct increase on a comparitive store basis and a 53 pct gain in overall sales,earnings
the exchange they said will be made on the effective date of the merger which must be approved by both companies boards and high plains shareholders,merger
alitalia reports higher net profits italys national airline alitalia spa ltazpimi reporting a 146 pct rise in provisional 1986 net profit said it carried seven pct more passengers on domestic routes last year but 115 pct fewer passengers on flights from north america and canada,earnings
fidelity federal savings and loan ltffedo 3rd shr 42 cts vs 59 cts net 734659 vs 1033309 nine mths shr 92 cts vs 169 dlrs net 1629719 vs 2971144 note 1987 nine mths net includes a loss of 290000 dlrs on sale of securities and ninerecurring charge of 32713 dlrs for writeoff of fslic secondary reserve,rate_change
female unemployment rose to a record 31 pct in february from the previous record 30 pct marked in january 1987 and in april august september and december last year,general
research and development will cost four pct of net sales and training two pct,earnings
nycor inc ltnycoo 3rd qtr net shr loss two cts vs profit two cts net profit 253000 vs profit 356000 revs 175 mln vs 123 mln nine mths shr profit one cent vs profit 21 cts net profit 628000 vs profit 2921000 revs 549 mln vs 360 mln note 1987 qtr and nine mths includes gain 106000 dlrs or one cent per share and 846000 dlrs or six cts per share respectively from utilization of tax loss carryforward,earnings
at amro bank a leading analyst said inflation could run to two pct next year,rate_change
woolworth co once known only as a five and dime store chain which said its 1986 income rose 21 pct,earnings
virginia federal said the proceeds would enable it to provide increased mortgage and lending services and enable the company to compete more effectively in the virginia market,rate_change
infodata said it plans to change its name to usa outdoor advertising inc to reflect the change in the companys operations,general
the embassy noted the ministry of trade tightened quality controls on tea in october 1986 in an effort to become more competititve in the world market,general
sec charges campeaus allied stores with disclosure violations in recent takeover sec charges campeaus allied stores with disclosure violations in recent takeover,merger
the trade deficit for 1986 was 2012 billion dlrs 257 pct higher than in 1985,general
there are about 6500 fitness clubs in the us excluding clubs run by notforprofit organizations according to the association of physical fitness centers who estimates it to be an 80billiondlrayear industry,earnings
the bill sponsored by senate energy committee chairman bennett johnston also repeals mandatory incremental pricing of natural gas which was designed to protect residential consumers from major price increases by forcing some industrial users to pay higher than market prices,general
so its unrealistic and it doesnt work and its unnecessary,general
company corrects current year sales,earnings
over the past five years ziering said the company has had average compound net income growth of 32 pct annually with a 27 pct per year growth in earnings per share,earnings
bally ltbly completes purchase of golden nugget bally manufacturing corp said it completed the acquisition of the golden nugget casino hotel in atlantic city new jersey from golden nugget inc bally also acquired from golden nugget various parcels of real estate in atlantic city it noted,merger
oil industry sources said yesterday several gulf arab producers had had difficulty selling oil at official opec prices but kuwait has said there are no plans for an emergency meeting of the 13member organisation,general
uk money market given 53 mln stg assistance the bank of england said it provided the money market with 53 mln stg assistance in the morning session,general
